,Air In1,Air In2,Water In1,Water In2
117,2.1149321354850658e-06,0.00010876281417331716,5.392730035278809e-33,2.5411966328785523e-23
118,1.4359354797324524e-06,0.00013609733705471347,6.5641473688823e-29,3.3423780268976774e-23
119,1.065108402879186e-06,0.0011520084900148058,2.268459307618183e-37,4.453984770753395e-23
120,8.506631523957388e-07,0.0016380746739644322,6.653941149581384e-37,6.014078726788493e-23
121,7.666142829651686e-07,0.00021960918142678313,2.1415320575201833e-36,8.229335262993344e-23
122,8.421864049003342e-07,0.00014266789418318585,7.686091181215314e-36,1.141279446116724e-22
123,1.388418095648455e-06,0.00014842005450651531,3.153722733196752e-35,1.6043796955562435e-22
124,3.972761307028627e-06,0.0003979563713402928,1.5423264845240058e-34,2.2864755801194914e-22
125,1.6778765495493888e-05,0.0026726762328985994,1.9950206783741553e-30,3.303960434472382e-22
126,8.566189551452686e-05,0.0002751592659461677,4.0939919267407197e-38,4.841425651619657e-22
127,0.0004665657258290289,2.604136018914465e-06,1.3842725790361565e-37,7.195396798795914e-22
128,0.0027135077591970863,3.3656264648258993e-05,5.218206769418932e-37,1.0847938345199535e-21
129,0.018153033073934764,0.00012908356977249603,2.2468476468893404e-36,1.6593074148038554e-21
130,0.14193863077953775,7.981433564800668e-05,1.1524327291479994e-35,2.5755691063288006e-21
131,0.7855279860787675,7.659267308289747e-05,1.5626453832569442e-31,4.057598797294053e-21
132,0.050830742543461836,7.833564218095458e-06,1.9281210123164474e-38,6.489292903210474e-21
133,0.00030701858451238207,0.0002734876716792313,3.8164006746145856e-38,1.0537860879521703e-20
134,9.876812928529702e-06,0.00017920057265225148,1.7109598493677104e-37,1.7379160181821844e-20
135,4.947105318402827e-06,0.00010023383418797605,9.132340005113364e-37,2.911560074268471e-20
136,3.4403783001791303e-06,0.00011352204028245103,1.2872845220244333e-32,4.9562632669435415e-20
137,2.8578618122779646e-06,0.00024724794555109605,1.005198910774425e-38,8.574733892847547e-20
138,2.8686839786108165e-06,0.00012828860871512938,4.6251365693103724e-38,1.5081419916332833e-19
139,3.2236726965143406e-06,0.00012877575415176133,2.5329249243033855e-37,2.6974185113291737e-19
140,3.983718686634907e-06,5.4777017032440516e-05,3.655565262961037e-33,4.907532766565806e-19
141,5.590046484138712e-06,0.00010431023869751413,1.9728282437996365e-38,9.08512669383874e-19
142,8.506986225679474e-06,6.081396175414235e-05,1.0951952915432902e-37,1.7119490577382724e-18
143,1.3900680553614672e-05,8.102391430965477e-05,1.5815717317600068e-33,3.284771104965864e-18
144,2.630506069835754e-05,0.00013119984544130442,6.508144811946705e-38,6.4199433905915826e-18
145,5.748978966094206e-05,0.00023845241777990133,9.51115800069291e-34,1.2786392193846008e-17
146,0.0001435141753097083,0.003340171589978221,4.041425661063244e-38,2.5961881350604486e-17
147,0.0004093734486747683,0.015199579330750718,5.948745698372928e-34,5.376476280322176e-17
148,0.0015704178045884802,0.15990832571011337,2.954083539269047e-38,1.1361608743123204e-16
149,0.004492879261395742,0.8234666290176447,3.875173074669449e-34,2.45124150408223e-16
150,0.9997812141176423,0.7248982922669364,3.1710856809320938e-34,5.402317256459284e-16
151,0.00024521358243068705,0.23454579386174798,2.6199307153716524e-34,1.2166136018534782e-15
152,7.798489098462127e-06,0.03333515758203149,2.186729277445591e-34,2.800216805023624e-15
153,2.3010316668767625e-06,0.005766850315178397,1.8420701016740352e-34,6.5910131462580415e-15
154,8.1343107207247e-07,0.0011223192789051421,1.566866302548775e-34,1.5876743372482992e-14
155,3.1411516636807377e-07,0.00023397353158406394,1.345425722496601e-34,3.917049175350921e-14
156,1.3257849295594455e-07,5.59344568397583e-05,1.1663866086337613e-34,9.906631636539017e-14
157,6.279135735020288e-08,1.4742965896085908e-05,1.0202548234013589e-34,2.5708392215500416e-13
158,3.356156517009485e-08,4.080110367888947e-06,9.021934624619521e-35,6.852667611876946e-13
159,1.787966866777829e-08,1.1718895435145797e-06,8.050086012206473e-35,1.878371181374106e-12
160,1.1152120198139462e-08,3.573788049571268e-07,7.248712775481426e-35,5.301476224053993e-12
161,6.875713452948557e-09,1.1791014762502534e-07,6.589006678692872e-35,1.5428504128607018e-11
162,4.67977205956987e-09,4.213276786648373e-08,6.04581002491266e-35,4.637252301411826e-11
163,3.6056336282378244e-09,1.5373779037839193e-08,5.599312623493153e-35,1.4420942206182477e-10
164,2.8146920771279024e-09,5.694838855679233e-09,5.235282536118657e-35,4.6496878658547167e-10
165,2.1203579463797494e-09,2.2508205172792774e-09,4.941334064439915e-35,1.558074825880339e-09
166,1.639831263363986e-09,9.758392596692287e-10,4.7079346270247323e-35,5.441213081573187e-09
167,1.4853806920543298e-09,4.3314808771935497e-10,4.527920032161518e-35,1.9869066286401227e-08
168,1.5203509749055398e-09,1.996583703463981e-10,4.3958804785053403e-35,7.616401492374538e-08
169,1.3423456842850212e-09,9.555916602238497e-11,4.308027164976527e-35,3.0797775033222414e-07
170,1.202409562993541e-09,5.0201057960324155e-11,4.2617679062335404e-35,1.3216839267056304e-06
171,1.1065079131310775e-09,2.8553348178084514e-11,4.2532885296475885e-35,6.067552283074126e-06
172,1.0960855636020977e-09,1.748293345636554e-11,4.283311557570945e-35,3.01509692402484e-05
173,1.0903305554532517e-09,1.1355638952314911e-11,4.363393802440957e-35,0.00017239250717203614
174,1.2114479510062538e-09,8.328086711221412e-12,4.4822290896899546e-35,0.003649695164055236
175,1.3600551990455536e-09,7.110913655273412e-12,4.647924513606482e-35,0.4645384536419925
176,1.5547672709350322e-09,6.658416970462468e-12,4.865038913810329e-35,0.5251264078190955
177,1.8650998077792495e-09,6.975681020419581e-12,5.140071782701889e-35,0.009447409598756258
178,2.1814127485620245e-09,7.89924528768614e-12,5.48164586318788e-35,0.0005248375692948674
179,2.292615982992749e-09,1.0327002507744877e-11,5.902386605734154e-35,0.0001394647302124494
180,2.3799788105673427e-09,1.5202662907030837e-11,6.418132419588473e-35,3.465085090038098e-05
181,2.4814358467069257e-09,2.3847189661724686e-11,7.045334736747891e-35,8.905442162765776e-06
182,2.172511490857475e-09,3.9291799071824983e-11,7.80740182921356e-35,2.4065418302505135e-06
183,2.0425829665740867e-09,6.664669084533836e-11,8.73427146549033e-35,6.833304523387238e-07
184,2.2717243157588455e-09,1.278038126673479e-10,9.864355610989924e-35,2.048254710476446e-07
185,2.529680282656424e-09,2.5478527476770147e-10,1.1255306544512513e-34,6.473969240543587e-08
186,3.172629410829301e-09,5.248155275776119e-10,1.295645509133702e-34,2.1485569897363522e-08
187,3.4437701895775603e-09,1.089082533360596e-09,1.5066484674981686e-34,7.461483199438247e-09
188,4.30321390476494e-09,2.3418329913124836e-09,1.7695182072874908e-34,2.7043937301981895e-09
189,6.5268910691297506e-09,5.736317150149251e-09,2.0981182608833303e-34,1.020580338988443e-09
190,9.143702558310016e-09,1.4091773602932412e-08,2.5127086611854206e-34,4.001257790050219e-10
191,1.1709384928887208e-08,3.6316772755022406e-08,3.0353012724895484e-34,1.626618348057138e-10
192,1.7776538167146285e-08,9.333808021074881e-08,3.700841778496111e-34,6.845220239347436e-11
193,3.7561839793824965e-08,2.6522810498751125e-07,4.564074464890985e-34,2.977566886128523e-11
194,7.817833163517038e-08,8.243482954047028e-07,5.685847189500145e-34,1.3370255266318251e-11
195,1.7815674092054533e-07,2.6378578212478355e-06,7.155464799504585e-34,6.190310889780371e-12
196,4.702542597503844e-07,8.838251329629504e-06,9.09809146407202e-34,2.952047369895226e-12
197,1.2723992882301385e-06,3.097486868092934e-05,1.1679682320825251e-33,1.4486290882538553e-12
198,4.166588217485526e-06,0.00012580366060694777,1.5149262279065913e-33,7.30693552889357e-13
199,1.7660561911862936e-05,0.0005665440009384735,1.9860372024864704e-33,3.7852507020061063e-13
200,0.00020121808209760703,0.002714581556446971,2.630027513298139e-33,2.0125552295575924e-13
201,0.011690564657459884,0.014540540212709837,3.517928662751876e-33,1.0975612922265125e-13
202,0.9881293090631645,0.09795951669433724,4.7554638775091424e-33,6.136145340719163e-14
203,0.0017890159789341524,0.883933292571879,6.499599498296819e-33,3.511692026100911e-14
204,0.03717224446399599,0.5418211300982935,8.97518639472371e-33,2.0125901996419434e-14
205,0.5947681528945393,0.39121579338823104,1.2527248390353197e-32,1.2222403685485766e-14
206,0.2957405636653078,0.05241548984748033,1.7637564206694144e-32,7.594745136492335e-15
207,0.05914864159673678,0.012951785543946544,2.5158652158528685e-32,4.816665471564439e-15
208,0.010488071763317041,0.0017991375172852055,3.627781962234818e-32,3.113443765937629e-15
209,0.0019425178856976413,0.0003261198958692016,5.287660772141439e-32,2.0561985646932033e-15
210,0.0004480781349041437,0.00019047970122237326,7.792149959956141e-32,1.3871890959028209e-15
211,0.00011579205586567066,6.700440441545639e-05,1.161186131825562e-31,9.557591532137319e-16
212,3.2842229560042865e-05,8.822904459871637e-05,1.7497820325086045e-31,6.723582236685602e-16
213,1.0110316107019368e-05,9.757555981761231e-05,2.666877308823423e-31,4.828452067133216e-16
214,3.3490322941722726e-06,0.0001055225203462942,4.108883768873929e-31,3.5390409616404275e-16
215,1.1367907385335894e-06,0.00015887062876241445,6.409423865800688e-31,2.6493040139300517e-16
216,4.4305673619502364e-07,0.00023899097110829752,1.0113947366604798e-30,2.025543270541783e-16
217,1.9552293111002364e-07,0.00018661147545953366,1.614490790519932e-30,1.580785425017082e-16
218,9.182397468727295e-08,0.0005296723731861435,2.6070959535847187e-30,1.2591129412288829e-16
219,4.804701622873476e-08,0.0003891004681083659,4.2614106660773364e-30,1.0234199195327433e-16
220,3.0087135849773936e-08,0.00046767948459468304,7.05014739463202e-30,8.487746728062971e-17
221,2.2095483405801185e-08,0.0011484835999423378,1.1805601738606077e-29,7.181837789865158e-17
222,1.81952007885972e-08,0.0011033203254332304,2.0016990647273903e-29,6.199337825104638e-17
223,1.876416449818003e-08,0.002994007458907091,3.4351939186993915e-29,5.458731425004815e-17
224,2.2358868867514862e-08,0.0010500661334213823,5.968175997054059e-29,4.9028658647560717e-17
225,2.757697297364326e-08,0.00019546711493748155,1.0508571580018492e-28,4.4916260595415953e-17
226,3.860070853667567e-08,0.00027635716884985697,1.8724120728941871e-28,4.197018405696394e-17
227,5.7705499603589196e-08,3.170196265059915e-05,3.3846842593573733e-28,3.999956123044957e-17
228,9.187291317743317e-08,2.6044522930224086e-05,6.193975660532533e-28,3.8882568464455725e-17
229,1.4752504394046872e-07,0.0010677452601176604,1.1489044065058946e-27,3.8552123608246735e-17
230,2.8865623206576124e-07,0.00300296882517638,2.159996661240715e-27,3.8989729670377447e-17
231,6.051978486554961e-07,0.012145876146095304,4.116424239384758e-27,4.022387368257612e-17
232,1.338312187680744e-06,0.008675699082931953,7.95549606684948e-27,4.23326863741213e-17
233,3.2099184691296722e-06,0.00654404842492881,1.5586147195019424e-26,4.5453511990535964e-17
234,8.752356711819749e-06,0.0015832197473103183,3.0950552328085025e-26,4.979665445633371e-17
235,2.7521421989520374e-05,0.44509143838047827,6.244125930084288e-26,5.567095355554295e-17
236,9.655214253742248e-05,0.25973390900494453,1.2749366551022966e-25,6.352006264556658e-17
237,0.00337423923899882,0.07015846381531984,2.648977514500039e-25,7.398065593747197e-17
238,0.7651342084632514,0.039677396920201884,5.588685369706204e-25,8.796906207480237e-17
239,0.22482435081330115,0.01962569630792767,1.1961487348801802e-24,1.0681626701047488e-16
240,0.006819560723300612,0.014004657654847099,2.5991392648825165e-24,1.3247883627451028e-16
241,0.00018178156100314387,0.018282313589389577,5.739732692595541e-24,1.6787262817587583e-16
242,1.8982997160659798e-05,0.011419648932800277,1.2879933321275724e-23,2.1742517399573512e-16
243,5.631539162572348e-06,0.0056767347387449135,2.934601516470681e-23,2.87983896026226e-16
244,2.119762995636979e-06,0.003209527417069389,6.796784386278583e-23,3.9020176841789137e-16
245,9.019040179045578e-07,0.0023291283429700154,1.6008988882896628e-22,5.409835492149592e-16
246,4.345992785151871e-07,0.0020662503267465174,3.845427953168416e-22,7.681751206013635e-16
247,2.4770173089086474e-07,0.002590787367821775,9.409692026853577e-22,1.1183856636779356e-15
248,1.4775643201750655e-07,0.0010423048555089711,2.3445200267773227e-21,1.6718580218792722e-15
249,9.317291270178805e-08,0.0008796311977303608,5.9523723283481134e-21,2.571225464149814e-15
250,6.325471774336335e-08,0.0009392430999336158,1.541344276716083e-20,4.079311247831795e-15
251,4.664876223958732e-08,0.00046746744581776785,4.0691192133158584e-20,6.700824233284815e-15
